;currencies;news_date;negative_norm;important_norm;disliked_norm;liked_norm;lol_norm;toxic_norm;saved_norm;comments_norm;attention_score
218;ADA;2021-11-15;0.07407;0.2963;0.0;0.44444;0.03704;0.0;0.07407;0.07407;0.02684181082137842
219;ADA;2021-11-16;0.3125;0.125;0.0;0.0625;0.0;0.0;0.0;0.5;0.020108848760911187
220;ADA;2021-11-17;0.0;0.27586;0.0;0.41379;0.03448;0.0;0.06897;0.2069;0.023340270501253403
221;ADA;2021-11-18;0.03571;0.32143;0.03571;0.60714;0.0;0.0;0.0;0.0;0.03000320168077953
222;ADA;2021-11-19;0.0;0.375;0.0;0.625;0.0;0.0;0.0;0.0;0.008703829428818317
223;ADA;2021-11-20;0.13793;0.27586;0.03448;0.34483;0.03448;0.0;0.0;0.17241;0.041608306848249024
224;ADA;2021-11-22;0.05405;0.27027;0.05405;0.37838;0.08108;0.0;0.05405;0.10811;0.046530474675159327
225;ADA;2021-11-23;0.22969;0.19048;0.12325;0.21849;0.06443;0.0028;0.0028;0.16807;0.348003117755146
226;ADA;2021-11-24;0.17105;0.17105;0.09211;0.28947;0.02632;0.0;0.02632;0.22368;0.08274640779638989
227;ADA;2021-11-25;0.16162;0.08081;0.16162;0.11111;0.20202;0.0;0.0;0.28283;0.09772299460261873
228;ADA;2021-11-26;0.09302;0.21512;0.05233;0.38372;0.07558;0.0;0.01163;0.1686;0.15224699130063166
229;ADA;2021-11-27;0.14737;0.10526;0.06316;0.27368;0.06316;0.0;0.02105;0.32632;0.12203369287158232
230;ADA;2021-11-28;0.06491;0.17647;0.05274;0.3428;0.06491;0.0;0.0;0.29817;0.3314658342263893
231;ADA;2021-11-29;0.1;0.23529;0.05294;0.44118;0.03529;0.0;0.01765;0.11765;0.17877866414481716
